id,name,slug,likes
155869377766434,NBC News,nbcnews,9576913
131459315949,CBS News,cbsnews,4588177
8304333127,The Wall Street Journal,wsj,6151446
86680728811,ABC News,abcnews,12544251
114050161948682,Reuters,reuters,3979645
10643211755,NPR,npr,6299329
15704546335,Fox News,foxnews,16231638
5863113009,Los Angeles Times,latimes,2719050
5281959998,The New York Times,nytimes,15368380
6250307292,Washington Post,washingtonpost,6142434
95475020353,Breitbart,breitbart,3825481
5550296508,CNN,cnn,29762478
13652355666,USA TODAY,usatoday,8955221
18468761129,HuffPost,huffpost,9854938
